train_pct,train_rss_mean,test_rss_mean,train_r2,test_r2
10,56420523.55555555,83506466.27160501,0.7713125318648179,0.8926042520072028
20,31753229.30836155,51726586.166818224,0.8735035996150802,0.9381853544796769
30,25052718.306665882,36156721.83625463,0.9555371279184309,0.9529487725319487
40,23840295.919433374,37789731.97334375,0.9611926051025705,0.9497286449627115
50,22786589.018123712,43144969.58282789,0.9683718087619,0.940087016255447
60,27258333.26431327,37867393.38893943,0.959168485203858,0.9532338376280692
70,28922215.61238366,37784662.46621314,0.9574526669392872,0.9414466227178214
80,27102249.73126139,49830096.85590839,0.9645401573418146,0.9024461774180497
90,29385914.538985327,48843452.14621687,0.9577863453924944,0.8928775350863083
